date,spot chart,spot %age,lumpSum,%age Lumpsum,1% Dip,amount for 1% dip,%age 1% Dip,2% Dip,amount for 2% dip,%age 2% dip,2k for -2% & 1k for -1%,amount -2% || -1% dip,%age for -2% and -1% dip,when to invest 2k,2k sip,amount for 2k sip,%age for sip
4/15/2020,8925.3,-0.762,732.63,-26.74%,18149.3,20000,-9.25%,27631.11928,29000,-4.72%,31598.53839,34000,-7.06%,FALSE,6762.115671,8000,-15.47%
4/16/2020,8992.8,0.756,738.17,-26.18%,18286.6,20000,-8.57%,27840.08711,29000,-4.00%,31837.5109,34000,-6.36%,FALSE,6813.237265,8000,-14.83%
4/17/2020,9266.75,3.046,760.66,-23.93%,18843.6,20000,-5.78%,28688.18691,29000,-1.08%,32807.38526,34000,-3.51%,FALSE,7020.768472,8000,-12.24%
4/20/2020,9261.85,-0.053,760.26,-23.97%,18833.7,20000,-5.83%,28673.01739,29000,-1.13%,32790.03762,34000,-3.56%,FALSE,7017.047465,8000,-12.29%
4/21/2020,8981.45,-3.027,737.24,-26.28%,19263.5,21000,-8.27%,29804.94955,31000,-3.86%,33797.32812,36000,-6.12%,FALSE,6804.641438,8000,-14.94%
4/22/2020,9187.3,2.292,754.14,-24.59%,19705,21000,-6.17%,30488.06296,31000,-1.65%,34571.94469,36000,-3.97%,FALSE,6960.60382,8000,-12.99%
4/23/2020,9313.9,1.378,764.53,-23.55%,19976.5,21000,-4.87%,30908.18517,31000,-0.30%,35048.34234,36000,-2.64%,FALSE,7056.520941,8000,-11.79%
4/24/2020,9154.4,-1.712,751.44,-24.86%,20634.4,22000,-6.21%,30378.88428,31000,-2.00%,35448.1415,37000,-4.19%,FALSE,6935.713302,8000,-13.30%
4/27/2020,9282.3,1.397,761.94,-23.81%,20922.7,22000,-4.90%,30803.32054,31000,-0.63%,35943.4025,37000,-2.86%,FALSE,7032.605217,8000,-12.09%
4/28/2020,9380.9,1.062,770.03,-23.00%,21145,22000,-3.89%,31130.52472,31000,0.42%,36325.20653,37000,-1.82%,FALSE,7107.291484,8000,-11.16%
4/29/2020,9553.35,1.838,784.19,-21.58%,21533.7,22000,-2.12%,31702.8002,31000,2.27%,36992.97634,37000,-0.02%,FALSE,7237.923502,8000,-9.53%
4/30/2020,9859.9,3.209,809.35,-19.07%,22224.6,22000,1.02%,32720.08664,31000,5.55%,38180.01512,37000,3.19%,FALSE,7470.188467,8000,-6.62%
5/4/2020,9293.5,-5.744,762.86,-23.71%,21948,23000,-4.57%,32840.48775,33000,-0.48%,37986.77172,39000,-2.60%,TRUE,9041.100841,10000,-9.59%
5/5/2020,9205.6,-0.946,755.64,-24.44%,21740.4,23000,-5.48%,32529.87508,33000,-1.42%,37627.48435,39000,-3.52%,FALSE,8955.572027,10000,-10.44%
5/6/2020,9270.9,0.709,761,-23.90%,21894.6,23000,-4.81%,32760.62601,33000,-0.73%,37894.39522,39000,-2.83%,FALSE,9019.067033,10000,-9.81%
5/7/2020,9199.05,-0.775,755.1,-24.49%,21724.9,23000,-5.54%,32506.72931,33000,-1.49%,37600.71151,39000,-3.59%,FALSE,8949.169264,10000,-10.51%
5/8/2020,9251.5,0.57,759.41,-24.06%,21848.8,23000,-5.01%,32692.07214,33000,-0.93%,37815.09857,39000,-3.04%,FALSE,9000.179528,10000,-10.00%
5/11/2020,9239.2,-0.133,758.4,-24.16%,21819.7,23000,-5.13%,32648.60756,33000,-1.06%,37764.82287,39000,-3.17%,FALSE,8988.20929,10000,-10.12%
5/12/2020,9196.55,-0.462,754.9,-24.51%,21719,23000,-5.57%,32497.89504,33000,-1.52%,37590.49287,39000,-3.61%,FALSE,8946.683763,10000,-10.53%
5/13/2020,9383.55,2.033,770.25,-22.98%,22160.6,23000,-3.65%,33158.69789,33000,0.48%,38354.84713,39000,-1.65%,FALSE,9128.569844,10000,-8.71%
5/14/2020,9142.75,-2.566,750.48,-24.95%,22591.9,24000,-5.87%,34307.78171,35000,-1.98%,39370.58774,41000,-3.97%,FALSE,8894.330741,10000,-11.06%
5/15/2020,9136.85,-0.065,750,-25.00%,22577.4,24000,-5.93%,34285.64221,35000,-2.04%,39345.18111,41000,-4.04%,FALSE,8888.549426,10000,-11.11%
5/18/2020,8823.25,-3.432,724.26,-27.57%,22802.4,25000,-8.79%,35108.87151,37000,-5.11%,39994.75413,43000,-6.99%,FALSE,8583.49441,10000,-14.17%
5/19/2020,8879.1,0.633,728.84,-27.12%,22946.8,25000,-8.21%,35331.106,37000,-4.51%,40247.91561,43000,-6.40%,FALSE,8637.82793,10000,-13.62%
5/20/2020,9066.55,2.111,744.23,-25.58%,23431.2,25000,-6.28%,36076.99419,37000,-2.49%,41097.6044,43000,-4.42%,FALSE,8820.172477,10000,-11.80%
5/21/2020,9106.25,0.438,747.49,-25.25%,23533.8,25000,-5.86%,36234.96571,37000,-2.07%,41277.55983,43000,-4.01%,FALSE,8858.804833,10000,-11.41%
5/22/2020,9039.25,-0.736,741.99,-25.80%,23360.7,25000,-6.56%,35968.3639,37000,-2.79%,40973.85671,43000,-4.71%,FALSE,8793.604029,10000,-12.06%
5/26/2020,9029.05,-0.113,741.15,-25.89%,23334.3,25000,-6.66%,35927.77676,37000,-2.90%,40927.62131,43000,-4.82%,FALSE,8783.667257,10000,-12.16%
5/27/2020,9314.95,3.166,764.62,-23.54%,24073.2,25000,-3.71%,37065.41044,37000,0.18%,42223.57237,43000,-1.81%,FALSE,9061.758162,10000,-9.38%
5/28/2020,9490.1,1.88,778.99,-22.10%,24525.8,25000,-1.90%,37762.35531,37000,2.06%,43017.50672,43000,0.04%,FALSE,9232.119215,10000,-7.68%
5/29/2020,9580.3,0.95,786.4,-21.36%,24758.9,25000,-0.96%,38121.27297,37000,3.03%,43426.3727,43000,0.99%,FALSE,9319.824348,10000,-6.80%
6/1/2020,9826.15,2.566,806.58,-19.34%,25394.3,25000,1.58%,39099.54244,37000,5.67%,44540.78183,43000,3.58%,TRUE,11558.97104,12000,-3.68%
6/2/2020,9979.1,1.557,819.13,-18.09%,25789.6,25000,3.16%,39708.15059,37000,7.32%,45234.08618,43000,5.20%,FALSE,11738.94422,12000,-2.18%
6/3/2020,10061.55,0.826,825.9,-17.41%,26002.7,25000,4.01%,40036.22998,37000,8.21%,45607.82233,43000,6.06%,FALSE,11835.9079,12000,-1.37%
6/4/2020,10029.1,-0.323,823.24,-17.68%,25918.8,25000,3.68%,39907.10716,37000,7.86%,45460.7303,43000,5.72%,FALSE,11797.67792,12000,-1.69%
6/5/2020,10142.15,1.127,832.52,-16.75%,26211,25000,4.84%,40356.94797,37000,9.07%,45973.17265,43000,6.91%,FALSE,11930.63775,12000,-0.58%
6/8/2020,10167.45,0.249,834.59,-16.54%,26276.3,25000,5.11%,40457.62,37000,9.34%,46087.85457,43000,7.18%,FALSE,11960.34503,12000,-0.33%
6/9/2020,10046.65,-1.188,824.68,-17.53%,26964.2,26000,3.71%,39976.94092,37000,8.05%,46540.28238,44000,5.77%,FALSE,11818.25614,12000,-1.51%
6/10/2020,10116.15,0.692,830.38,-16.96%,27150.7,26000,4.43%,40253.49055,37000,8.79%,46862.23544,44000,6.51%,FALSE,11900.03847,12000,-0.83%
